enrollment_id,organization,associate_id,owner,role,association_date,percent,source
O20071114000553,"GREATER BOSTON HOME HEALTH CARE, LLC",1254592256,NAOMI A EGAH,5% OR GREATER DIRECT OWNERSHIP INTEREST,9/12/2016,100,HHA All Owners 2026-07-17 release
O20071114000553,"GREATER BOSTON HOME HEALTH CARE, LLC",1254592256,NAOMI A EGAH,CORPORATE DIRECTOR,9/5/2007,100,HHA All Owners 2026-07-17 release
O20120322000034,BEYOND HEALTHCARE AGENCY LLC,1254592256,NAOMI A EGAH,5% OR GREATER DIRECT OWNERSHIP INTEREST,5/20/2010,100,HHA All Owners 2026-07-17 release
O20120322000034,BEYOND HEALTHCARE AGENCY LLC,1254592256,NAOMI A EGAH,CORPORATE OFFICER,5/20/2010,100,HHA All Owners 2026-07-17 release
O20120322000034,BEYOND HEALTHCARE AGENCY LLC,1254592256,NAOMI A EGAH,OPERATIONAL/MANAGERIAL CONTROL,5/20/2010,100,HHA All Owners 2026-07-17 release
O20191107002080,GUARANTEED HOME HEALTH SERVICES INC.,1254592256,NAOMI A EGAH,5% OR GREATER DIRECT OWNERSHIP INTEREST,9/9/2019,100,HHA All Owners 2026-07-17 release
O20191107002080,GUARANTEED HOME HEALTH SERVICES INC.,1254592256,NAOMI A EGAH,CORPORATE OFFICER,9/9/2019,,HHA All Owners 2026-07-17 release
O20191107002080,GUARANTEED HOME HEALTH SERVICES INC.,1254592256,NAOMI A EGAH,CORPORATE DIRECTOR,9/6/2019,,HHA All Owners 2026-07-17 release
O20191107002080,GUARANTEED HOME HEALTH SERVICES INC.,1254592256,NAOMI A EGAH,OPERATIONAL/MANAGERIAL CONTROL,9/6/2019,,HHA All Owners 2026-07-17 release
O20150912000320,EDEN HEALTHCARE LLC,1254592256,NAOMI A EGAH,5% OR GREATER DIRECT OWNERSHIP INTEREST,2014-08-22,100,HHA All Owners 2023-07-17 release (dataset version 94c1d434-bdad-47e5-b301-6bcf8634af6b)
