program,id,recipient_as_filed,date,amount,forgiven,match,source_file
PPP,8009847100,GREATER BOSTON HOME HEALTH CARE LLC,2020-04-15,1184600,1195634.63,probable,public_150k_plus_240930.csv
PPP,3390558708,GREATER BOSTON HOME HEALTH CARE LLC,2021-03-31,1184600,1193005.79,probable,public_150k_plus_240930.csv
PPP,5267977702,BEYOND BUSINESS CONSULTING LLC,2020-05-01,155107,157584.46,probable,public_150k_plus_240930.csv
EIDL loan,8840017900,Greater Boston Home Health Care LLC,2020-06-19,150000,,probable,DATAACT_EIDL_LOANS_20200610-20200625.csv
EIDL loan,3008408001,ZEIIND FAMILY FOUNDATION,2020-06-24,150000,,probable,DATAACT_EIDL_LOANS_20200610-20200625.csv
EIDL loan,4016958007,Beyond Business Management LLC,2020-06-25,119200,,probable,DATAACT_EIDL_LOANS_20200610-20200625.csv
EIDL loan,3615638002,Beyond Healthcare Agency LLC,2020-06-25,150000,,probable,DATAACT_EIDL_LOANS_20200610-20200625.csv
EIDL loan,9904948005,Certified Billing Consulting LLC,2020-07-08,71400,,probable,DATAACT_EIDL_LOANS_20200626-20200723.csv
EIDL loan,9059498101,Naomi Egah (individual),2020-07-28,74500,,confirmed,DATAACT_EIDL_LOANS_20200724-20201115.csv
EIDL loan,9743738108,Fire of Life Inc,2020-07-29,11000,,probable,DATAACT_EIDL_LOANS_20200724-20201115.csv
EIDL loan,2957258208,Beyond Zoe Hospice LLC,2020-08-04,139500,,probable,DATAACT_EIDL_LOANS_20200724-20201115.csv
EIDL loan,3512608208,COMMUNITY PSYCH HEALTHCARE LLC,2020-08-04,150000,,probable,DATAACT_EIDL_LOANS_20200724-20201115.csv
EIDL loan,3707998209,Beyond Zoe Ministries International,2020-08-05,135500,,probable,DATAACT_EIDL_LOANS_20200724-20201115.csv
EIDL loan,3987268206,Beyond Agency Software Systems LLC,2020-08-05,150000,,probable,DATAACT_EIDL_LOANS_20200724-20201115.csv
EIDL loan,3190848206,ALWAYS AVAILABLE HEALTHCARE LLC,2020-08-06,101600,,probable,DATAACT_EIDL_LOANS_20200724-20201115.csv
EIDL advance,EIDLGT:3304717391,Fire of Life Inc,2020-06-18,1000,,probable,EIDL Advance through 111520
EIDL advance,EIDLGT:3304748182,Beyond Business Management LLC,2020-06-18,10000,,probable,EIDL Advance through 111520
EIDL advance,EIDLGT:3304757783,Beyond Healthcare Agency LLC,2020-06-18,10000,,probable,EIDL Advance through 111520
EIDL advance,EIDLGT:3304760125,GREATER BOSTON HOME HEALTH CARE,2020-06-18,10000,,probable,EIDL Advance through 111520
EIDL advance,EIDLGT:3304763479,Beyond Independent Living LLC,2020-06-18,10000,,probable,EIDL Advance through 111520
EIDL advance,EIDLGT:3305480202,ZEIIND FAMILY FOUNDATION,2020-06-22,5000,,probable,EIDL Advance through 111520
EIDL advance,EIDLGT:3309650685,Naomi Egah DBA BEYOND FAITH CLINIC,2020-07-13,10000,,confirmed,EIDL Advance through 111520
HHS PRF,,BEYOND HEALTHCARE AGENCY LLC (Andover MA),,113608,,probable,data.cdc.gov kh8y-3es6
HHS PRF,,BEYOND INDEPENDENT LIVING INC (West Roxbury MA),,40541,,probable,data.cdc.gov kh8y-3es6
HHS PRF,,GUARANTEED HOME HEALTH SERVICES INC (Newtown PA),,13715,,probable,data.cdc.gov kh8y-3es6
HHS PRF,,"GREATER BOSTON HOME HEALTH CARE, LLC (Boston MA)",,1335,,probable,data.cdc.gov kh8y-3es6
ARP Rural,,ADERONKE NAOMI OSAGIEDE BEYOND HEALTHCARE AGENCY LLC (Woburn MA),,500,,probable,data.cdc.gov 8v6a-z6zq
