entity,soc_id,type,organized,involuntary_dissolution,revived,ceased_by_conversion,city,filed_under,cthru_total
BEYOND HEALTHCARE AGENCY LLC,271533104,LLC,2010-05-20,2023-12-29,2024-09-20,,ANDOVER,Osagiede,73504622.08
BEYOND INDEPENDENT LIVING LLC,462941036,LLC,2013-07-30,,,2017-02-21,BOSTON,Osagiede,32404181.08
GREATER BOSTON HOME HEALTH CARE LLC,001618231,LLC,2022-11-11,,,,WEST ROXBURY,Egah,47203.01
"GREATER BOSTON HOME HEALTH CARE, LLC",412251357,LLC,2007-09-05,,,,BOSTON,Egah,0
BEYOND INDEPENDENT LIVING INC,001309461,Nonprofit,2018-01-10,2025-06-30,,,BOSTON,Osagiede,0
BEYOND INDEPENDENT LIVING INC,001261393,Profit corp,2017-02-20,,,2018-01-10,BOSTON,Osagiede,0
BEYOND INDEPENDENT LIVING LLC (661 Centre St),001421873,LLC,2020-01-22,,,,BROCKTON,Egah,0
ALWAYS AVAILABLE HEALTHCARE LLC,464359150,LLC,2013-12-20,2023-12-29,2020-07-15,,WEST ROXBURY,Egah,0
"HEALING PATHWAYS HOME CARE, LLC",001693243,LLC,2023-08-29,,,,LAWRENCE,Egah,0
BEYOND ZOE HOSPICE LLC,463219778,LLC,2013-07-30,2022-12-30,2020-07-15,,ANDOVER,Egah,0
COMMUNITY PSYCH HEALTHCARE LLC,001134312,LLC,2014-04-23,2022-12-30,2020-09-01,,WEST ROXBURY,Egah,0
COMMUNITY PSYCH HEALTHCARE LLC,001844080,LLC,2024-10-14,,,,BROCKTON,Egah,0
CERTIFIED HEALTHCARE INC,001169224,Nonprofit,2015-05-04,2025-06-30,,,BILLERICA,Osagiede,0
GREATER HEALTHCARE SOLUTIONS LLC,001192774,LLC,2015-10-08,2019-06-28,,,BOSTON,Osagiede,0
GREATER BOSTON HEALTHCARE SCHOOL LLC,001663965,LLC,2023-06-12,,,,CHELMSFORD,Egah,0
BEYOND FAITH CLINIC LLC,464164029,LLC,2014-01-21,2017-06-30,,,NORTH BILLERICA,Osagiede,0
BEYOND MEDICAL EQUIPMENT LLC,462612399,LLC,2013-04-24,2017-06-30,,,WOBURN,Osagiede,0
CERTIFIED BILLING CONSULTING LLC,001222509,LLC,2016-05-09,2019-06-28,,,WEST ROXBURY,Osagiede,0
"MEDICOACH TRANSPORTATION, INC.",001145387,Profit corp,2014-10-01,,,,CHELMSFORD,Osagiede,0
"BEYOND FAITH CONSULTING, LLC",463474045,LLC,2013-09-03,2025-12-31,2022-12-15,,WEST ROXBURY,both,0
BEYOND BUSINESS MANAGEMENT INC.,001204620,Profit corp,2016-01-08,2019-06-28,,,BOSTON,Osagiede,0
BEYOND BUSINESS MANAGEMENT LLC,001172383,LLC,2015-05-07,,,2016-01-08,BOSTON,Osagiede,0
ALWAYS A STEP BEYOND MANAGEMENT LLC,001118848,LLC,2013-10-17,2019-06-28,,,WOBURN,Osagiede,0
BEYOND GARDENS LLC,462201943,LLC,2013-03-06,2021-06-30,,,BOSTON,Osagiede,0
"BEYOND AGENCY SOFTWARE SYSTEMS, LLC",001127305,LLC,2014-01-31,2023-12-29,2020-07-15,,WEST ROXBURY,Egah,0
BEYOND TRUST INT LLC,001446050,LLC,2020-07-09,2023-12-29,,,BOSTON,Egah,0
ASCEND BUSINESS CONCEPT LLC,001941736,LLC,2026-01-15,,,,ANDOVER,Egah,0
ABOVE ALL BUSINESS CONCEPTS LLC,001701907,LLC,2023-09-20,,,,BROCKTON,Egah,0
ABLE BUSINESS CONCEPT LLC,001530586,LLC,2021-09-07,,,,WESTON,Egah,0
J&N INTERNATIONAL VENTURES LLC,001445429,LLC,2020-07-01,2022-12-30,,,WESTON,Egah,0
BLUE HEART CLEANING SERVICES INC,001603951,Profit corp,2022-08-31,2024-12-31,,,WESTON,Egah,0
AFRICAN HIDDEN TALENTS INC.,001191289,Profit corp,2015-09-29,2019-06-28,,,BOSTON,Osagiede,0
FLIM CHRISTIAN LEARNING CENTER INC.,001803757,Profit corp,2024-05-30,,,,BROCKTON,Egah,0
"NIGERIAN NURSE'S ASSOCIATION OF MASSACHUSETTS, INC",001294139,Nonprofit,2017-10-09,2025-06-30,,,BOSTON,Osagiede,0
"NIGERIAN NURSE'S ASSOCIATION OF MASSACHUSETTS, INC.",001406743,Nonprofit,2019-11-01,2025-06-30,,,WESTON,Egah,0
NIGERIAN NURSES ASSOCIATION MA INC.,001181167,Profit corp,2015-07-13,2017-06-30,,,NORTH BILLERICA,Osagiede,0
ZEIIND FAMILY FOUNDATION INC,001253793,Nonprofit,2017-12-11,2025-06-30,,,WESTON,Egah,0
MERCY TRUST OUTREACH INC.,001467783,Nonprofit,2020-10-29,2025-06-30,,,WESTON,Egah,0
"EMBASSY OF GRACE, A PLACE OF FAVOR, INC.",001283622,Nonprofit,2017-07-24,2025-06-30,,,WESTON,Egah,0
"NKUM'S WORLD OUTREACH, INC.",001272034,Nonprofit,2017-05-01,2025-06-30,,,BROCKTON,Osagiede,0
BEYOND ZOE MINISTRY INC,001133448,Nonprofit,2014-04-10,2025-06-30,,,WESTON,Osagiede,0
BEYOND ZOE MINISTRIES INTERNATIONAL,001447271,Religious,2020-07-13,,,,WESTON,Egah,0
FIRE OF LIFE. INC,001150418,Religious,2014-10-29,,,,BROCKTON,Egah,0
JOHN EGAH MINISTRIES INC,001446262,Religious,2020-07-06,,,,WESTON,both,0
"HOPE AND POWER MEGA CHURCH, INC.",001436502,Nonprofit,2020-05-04,,,,WESTON,Egah,0
