soc_id,entity,filing_number,filed,filing_type,content_as_read
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",200796277280,2007-09-05,Certificate of Organization,Manager/RA Alexander Yashaev; SOC signatory Nadejda Yashaev; 425 Boylston St Ste 305 Boston 02116
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",200811664790,2008-02-28,Certificate of Amendment,Changed RA/manager/real property to Elena Yashaev
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",200832699650,2008-08-08,Certificate of Amendment,"Manager Gennady Vinokur; RA Don Goldberg, Needham"
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",200838496000,2008-10-22,Annual Report 2008,Manager Gennady Vinokur; 425 Boylston St
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",200948169720,2009-02-03,Certificate of Amendment,Principal office moved to 2001 Beacon St Ste 200 Boston 02135; signed Vinokur
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201099060540,2010-04-15,Annual Report 2009,Manager Gennady Vinokur
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201009956570,2010-08-03,Annual Report 2010 (paper),FEIN 41-2251357; Manager Gennady Vinokur; signed 30 July 2010
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201269749640,2012-02-13,Annual Report 2011,Manager Gennady Vinokur
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201332759860,2013-04-04,Annual Report 2012,"Managers Gennady Vinokur, Leonid Gorbatov"
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201479408380,2014-03-26,Annual Report 2013,"Managers Gennady Vinokur, Leonid Gorbatov"
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201499124770,2014-10-15,Annual Report 2014,"Managers Gennady Vinokur, Leonid Gorbatov; signed Vinokur"
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201540567840,2015-07-30,Statement of Change of RA,"RA Don Goldberg -> Aderonke Naomi Osagiede, 2001 Beacon St Ste 200; signed Osagiede"
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201540575070,2015-07-30,Certificate of Amendment,"Item 10: REMOVED PREVIOUS MEMBERS/ OWNERS AND ADDED ONE NEW OWNER, TO REFLECT THE SALE OF THE AGENCY TO ADERONKE NAOMI OSAGIEDE; manager Osagiede"
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201542469520,2015-08-12,Certificate of Amendment,Name changed to GREATER HEALTHCARE SOLUTIONS LLC effective 8/13/2015; signed Osagiede
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201545364660,2015-09-17,Certificate of Amendment,"Name changed back to GREATER BOSTON HOME HEALTH CARE, LLC; signed Osagiede"
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201553602860,2015-12-10,Annual Report 2015,"Manager/RA/signatory Aderonke Naomi Osagiede, 2001 Beacon St"
412251357,"GREATER BOSTON HOME HEALTH CARE, LLC",201899663680,2018-04-03,Statement of Change of RA Office Address,"RA office 2001 Beacon St -> 1208B VFW Parkway Suite 302 Boston 02132; signed Aderonke Naomi Osagiede, Resident Agent"
001192774,GREATER HEALTHCARE SOLUTIONS LLC,201547343050,2015-10-08,Certificate of Organization,"Manager Naomi Osagiede, 1208 B VFW Pkwy Ste 301; RA Beyond Business Management LLC; principal office 2001 Beacon St"
001192774,GREATER HEALTHCARE SOLUTIONS LLC,201661665430,2016-01-26,Certificate of Merger,"GBHHC, LLC (EIN 41-2251357) merged into surviving Greater Healthcare Solutions LLC (EIN 35-2543870). Item 4 (OCR): 'As of July 16, 2015 of Greater Boston Home Health Care, LLC was sold to Naomi Osagiede's corporate designee Beyond Business Management Inc.' Sellers Gennady Vinokur (managing member) and Leonid Gorbatov (member); purchaser Beyond Business Management, LLC owned by Naomi Osagiede"
001618231,GREATER BOSTON HOME HEALTH CARE LLC,202253358820,2022-11-11,Certificate of Organization,Manager Naomi A Egah; RA Naomi Egah; 1208B VFW Pkwy Ste 302 West Roxbury; business: home health care agency
001618231,GREATER BOSTON HOME HEALTH CARE LLC,202493406130,2024-09-20,Annual Report 2023,Manager Naomi A Egah; signed Naomi Egah
001618231,GREATER BOSTON HOME HEALTH CARE LLC,202493408080,2024-09-20,Annual Report 2024,Manager Naomi A Egah; signed Naomi Egah
001175773,"BEYOND ADULT DAY HEALTH CENTER LLC (now VILAJ LAJWA, LLC)",201474084390,2014-03-11,certificate of organization,"RA ADERONKE N OSAGIEDE, 1208 VFW PARKWAY SUITE 102A WEST ROXBURY; MANAGER ADERONKE NAOMI OSAGIEDE; signed ADERONKE NAOMI OSAGIEDE"
001175773,"BEYOND ADULT DAY HEALTH CENTER LLC (now VILAJ LAJWA, LLC)",201549703780,2015-11-02,,RA ADERONKE N OSAGIEDE moves RA office to 1208B VFW PARKWAY SUITE 100
001175773,"BEYOND ADULT DAY HEALTH CENTER LLC (now VILAJ LAJWA, LLC)",201549738700,2015-11-11,AR 2015,MANAGER ADERONKE NAOMI OSAGIEDE; signed NAOMI OSAGIEDE
001175773,"BEYOND ADULT DAY HEALTH CENTER LLC (now VILAJ LAJWA, LLC)",201682744020,2016-08-03,AR 2016,MANAGER ADERONKE NAOMI OSAGIEDE; signed ADERONKE NAOMI OSAGIEDE
001175773,"BEYOND ADULT DAY HEALTH CENTER LLC (now VILAJ LAJWA, LLC)",201719738770,2017-02-22,amendment,"MANAGER GENNADY VINOKUR, 2001 BEACON STREET SUITE 309 BRIGHTON; RA still ADERONKE N OSAGIEDE; signed 'GENNADY VINOKUR, MEMBER'"
001175773,"BEYOND ADULT DAY HEALTH CENTER LLC (now VILAJ LAJWA, LLC)",201745123300,2017-07-06,/ 201758272020 / 201804266450 / 201984595960 / 202086158420,"MANAGER GENNADY VINOKUR (2001 Beacon St Ste 309); RA ADERONKE N OSAGIEDE, 1208B VFW PKWY SUITE 100"
