ccn,provider_name,city,calendar_year,beneficiaries,medicare_payment,source
227507,Greater Boston Home Health Care Llc,Brighton,2014,149,832155,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227507,Greater Boston Home Health Care Llc,Brighton,2015,136,828284,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227507,Greater Boston Home Health Care Llc,Brighton,2016,107,895862,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227507,Greater Boston Home Health Care Llc,Brighton,2017,93,780335,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227507,Greater Boston Home Health Care Llc,Boston,2018,148,1487411,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227507,Greater Boston Home Health Care Llc,Boston,2019,153,1369274,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227507,Greater Boston Home Health Care Llc,Boston,2020,144,1563680,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227507,Greater Boston Home Health Care Llc,Boston,2021,180,1916277,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227507,Greater Boston Home Health Care Llc,Boston,2022,170,1934741,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227507,Greater Boston Home Health Care Llc,Boston,2023,152,1890909,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227507,"Greater Boston Home Health Care, Llc",Boston,2024,149,1834853,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
227541,Beyond Healthcare Agency Llc,Woburn,2015,24,82133,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
677975,St David Home Health Inc,Houston,2014,87,640351,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
677975,Eden Healthcare Llc,Houston,2015,27,238942,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
677975,Eden Healthcare Llc,Houston,2016,17,99842,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
677975,Eden Healthcare Llc,Houston,2017,22,159183,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
677975,Eden Healthcare Llc,Houston,2018,19,124964,"CMS Medicare Post-Acute Care Utilization - Home Health Agency by Provider, RY26 release, filter PRVDR_ID; retrieved 2026-09-25"
