npi,organization_name,tie,status,enumeration_date,last_updated,deactivation_date,authorized_official,official_full_name,official_title,practice_location,practice_phone,mailing_address,mailing_phone,taxonomy,other_names,tie_basis
1003226630,BEYOND INDEPENDENT LIVING LLC,confirmed,A,2014-05-05,2026-06-23,,NAOMI OSAGIEDE,NAOMI OSAGIEDE,Owner,"661 CENTRE ST, BROCKTON MA",781-281-1117,"661 CENTRE ST, BROCKTON MA",781-932-1166,Foster Care Agency,,named person is the authorized official
1003116021,BEYOND HEALTHCARE AGENCY LLC,confirmed,A,2010-10-25,2026-09-24,,NAOMI OSAGIEDE,NAOMI A OSAGIEDE,CEO,"40 SHATTUCK RD STE 309, ANDOVER MA",781-932-1166,"40 SHATTUCK RD STE 309, ANDOVER MA",781-932-1166,Home Health,BEYOND HEALTHCARE AGENCY,named person is the authorized official
1063691905,GREATER BOSTON HOME HEALTH CARE LLC.,confirmed,A,2007-10-28,2026-08-24,,NAOMI OSAGIEDE,NAOMI OSAGIEDE,Owner,"661 CENTRE ST, BROCKTON MA",617-938-3860,"661 CENTRE ST, BROCKTON MA",617-938-3860,Home Health,"GREATER BOSTON HOME HEALTH CARE, LLC",named person is the authorized official
1255748281,COMMUNITY PSYCH HEALTHCARE LLC,confirmed,A,2014-07-22,2024-10-09,,NAOMI EGAH,NAOMI ADERONKE EGAH,Owner,"661 CENTRE ST., BROCKTON MA",978-930-9410,"1208B VFW PARKWAY SUITE 304, WEST ROXBURY MA",978-930-9410,Home Health,,named person is the authorized official
1952723322,ALWAYS AVAILABLE HEALTHCARE LLC,confirmed,A,2014-01-20,2014-06-09,,ADERONKE OSAGIEDE,ADERONKE NAOMI OSAGIEDE,CEO,"691 MAIN ST, WALTHAM MA",978-930-9410,"691 MAIN ST, WALTHAM MA",978-930-9410,Home Health,,named person is the authorized official
1316376999,BEYOND ZOE HOSPICE LLC,confirmed,A,2013-11-05,2015-03-03,,ADERONKE OSAGIEDE,ADERONKE NAOMI OSAGIEDE,CEO,"10 TOWER OFFICE PARK SUITE 313, WOBURN MA",781-932-1166,"10 TOWER OFFICE PARK SUITE 313, WOBURN MA",781-932-1166,"Hospice Care, Community Based",,named person is the authorized official
1639544471,BEYOND AGENCY SOFTWARE SYSTEMS LLC,confirmed,A,2015-12-04,2016-03-31,,NAOMI OSAGIEDE,NAOMI OSAGIEDE,Owner,"1208B VFW PKWY STE 301, BOSTON MA",978-930-9410,"1208B VFW PKWY STE 301, BOSTON MA",978-930-9410,Home Health,,named person is the authorized official
1003342874,BEYOND BUSINESS MANAGEMENT INC,confirmed,A,2017-05-11,2017-05-11,,NAOMI OSAGIEDE,NAOMI A OSAGIEDE,Owner,"1208B VFW PKWY SUITE 301, WEST ROXBURY MA",978-987-4487,"1208B VFW PKWY SUITE 301, WEST ROXBURY MA",978-987-4487,Home Health,,named person is the authorized official
1174935159,BEYOND MEDICAL EQUIPMENT LLC,confirmed,A,2014-05-27,2015-02-10,,ADERONKE OSAGIEDE,ADERONKE OSAGIEDE,CEO,"1208 VFW PKWY, WEST ROXBURY MA",978-930-9410,"1208 VFW PKWY, WEST ROXBURY MA",978-930-9410,Durable Medical Equipment & Medical Supplies,BEYOND MEDICAL EQUIPMENT,named person is the authorized official
1356750228,GUARANTEED HOME HEALTH SERVICES INC,confirmed,A,2014-08-05,2026-06-23,,NAOMI OSAGIEDE,NAOMI OSAGIEDE,Owner/ CEO,"638 NEWTOWN YARDLEY RD STE 2I, NEWTOWN PA",215-693-6326,"638 NEWTOWN YARDLEY RD STE 2I, NEWTOWN PA",215-693-6326,Home Health,,named person is the authorized official
1790204477,"ZOE HEALTHCARE, LLC",confirmed,A,2017-09-14,2017-09-14,,NAOMI OSAGIEDE,NAOMI OSAGIEDE,Owner,"503 LAKESIDE PARK, SOUTHAMPTON PA",215-693-6326,"1208B VFW PKWY STE 304, WEST ROXBURY MA",888-778-9978,Home Health,ALWAYS A STEP BEYOND,named person is the authorized official
1700662186,HEALING PATHWAYS HOME CARE LLC,probable,A,2023-09-01,2023-09-01,,OTHER OFFICIAL,OTHER OFFICIAL,Owner/President,"101 AMESBURY ST STE 104, LAWRENCE MA",978-609-0654,"101 AMESBURY ST STE 104, LAWRENCE MA",978-609-0654,Home Health,,"register entity 001693243 (Naomi Aderonke Egah, SOC signatory); NPI issued 3 days after organisation; different official"
