vendor_string,appropriation_name,department,payments,total_usd
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,(40000600) MASSHEALTH - SENIOR CARE PLANS,DEPARTMENT OF ELDER AFFAIRS (ELD),260,21917280.05
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,(40000500) MANAGED CARE PLAN,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),340,21348562.21
BEYOND INDEPENDENT LIVING LLC,(40000601) MASSHEALTH SENIOR CARE,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),846,15374382.30
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,(40000700) INDEMNITY/THIRD PARTY LIABILITY PLAN,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),336,14300849.60
BEYOND INDEPENDENT LIVING LLC,(40000500) MANAGED CARE PLAN,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),914,7944245.85
BEYOND INDEPENDENT LIVING LLC,(40000700) INDEMNITY / THIRD PARTY LIABILITY PLAN,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),502,3562122.65
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,(40000601) MASSHEALTH SENIOR CARE,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),86,2801568.51
BEYOND INDEPENDENT LIVING LLC,(40000700) INDEMNITY/THIRD PARTY LIABILITY PLAN,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),384,2767101.61
BEYOND HEALTHCARE AGENCY LLC,(40000601) MASSHEALTH SENIOR CARE,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),340,2020438.44
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,(40000320) PRIOR YEAR COLLECTIONS FROM LIENS/ESTATE,EXECUTIVE OFFICE OF HEALTH AND HUMAN SERVICES (EHS),47,2007121.29
