vendor_string,budget_fiscal_year,city,zip,payments,total_usd
ADERONKE NAOMI OSAGIEDE BEYOND HLTH CARE,2019,ANDOVER,01810,283,3351203.96
ADERONKE NAOMI OSAGIEDE BEYOND HLTH CARE,2020,ANDOVER,01810,141,1034429.03
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,2012,WOBURN,01801,3,840.00
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,2013,WOBURN,01801,152,4654498.56
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,2014,WOBURN,01801,207,13229975.70
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,2015,WOBURN,01801,202,17473027.63
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,2016,WOBURN,01801,210,13563485.85
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,2017,WOBURN,01801,286,8001432.40
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,2018,WOBURN,01801,337,5810754.20
ADERONKE NAOMI OSAGIEDE BEYONE HEALTHCAR,2019,WOBURN,01801,35,513361.40
BEYOND HEALTHCARE AGENCY LLC,2020,ANDOVER,01810,125,986465.08
BEYOND HEALTHCARE AGENCY LLC,2021,ANDOVER,01810,176,1045574.04
BEYOND HEALTHCARE AGENCY LLC,2022,ANDOVER,01810,211,1059964.39
BEYOND HEALTHCARE AGENCY LLC,2023,ANDOVER,01810,240,847728.96
BEYOND HEALTHCARE AGENCY LLC,2024,ANDOVER,01810,209,869696.30
BEYOND HEALTHCARE AGENCY LLC,2025,ANDOVER,01810,213,682886.17
BEYOND HEALTHCARE AGENCY LLC,2026,ANDOVER,01810,191,336711.06
BEYOND HEALTHCARE AGENCY LLC,2027,ANDOVER,01810,26,39108.35
BEYOND HEATHCARE AGENCY,2011,WOBURN,01801,2,875.00
BEYOND HEATHCARE AGENCY,2012,WOBURN,01801,10,2604.00
BEYOND INDEPENDENT LIVING LLC,2016,WOBURN,01801,76,247827.06
BEYOND INDEPENDENT LIVING LLC,2017,WOBURN,01801,165,1207680.44
BEYOND INDEPENDENT LIVING LLC,2018,WOBURN,01801,197,1391585.73
BEYOND INDEPENDENT LIVING LLC,2019,WOBURN,01801,198,1425716.53
BEYOND INDEPENDENT LIVING LLC,2020,METHUEN,01844,133,1004533.44
BEYOND INDEPENDENT LIVING LLC,2020,WOBURN,01801,147,1098537.89
BEYOND INDEPENDENT LIVING LLC,2021,METHUEN,01844,122,841247.50
BEYOND INDEPENDENT LIVING LLC,2021,WEST ROXBURY,02132,330,2635373.17
BEYOND INDEPENDENT LIVING LLC,2022,WEST ROXBURY,02132,468,3844967.22
BEYOND INDEPENDENT LIVING LLC,2023,WEST ROXBURY,02132,466,4167541.67
BEYOND INDEPENDENT LIVING LLC,2024,WEST ROXBURY,02132,453,4175144.02
BEYOND INDEPENDENT LIVING LLC,2025,WEST ROXBURY,02132,505,4455851.96
BEYOND INDEPENDENT LIVING LLC,2026,WEST ROXBURY,02132,635,4782426.09
BEYOND INDEPENDENT LIVING LLC,2027,WEST ROXBURY,02132,143,1125748.36
GREATER BOSTON HOME HEALTH CARE LLC,2025,BOSTON,02132,4,1224.02
GREATER BOSTON HOME HEALTH CARE LLC,2026,BOSTON,02132,23,11760.08
GREATER BOSTON HOME HEALTH CARE LLC,2026,BROCKTON,02302,39,26343.42
GREATER BOSTON HOME HEALTH CARE LLC,2027,BROCKTON,02302,17,7875.49
