billing_npi,service_year,cells,claim_lines,total_paid,source
1003116021,2018,75,68847,4390549.36,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003116021,2019,85,63532,2887740.47,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003116021,2020,80,63582,1634854.05,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003116021,2021,89,45872,1250859.53,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003116021,2022,82,33807,1066298.62,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003116021,2023,72,23584,1149866.64,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003116021,2024,50,14784,854782.35,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003226630,2018,12,1190,1531559.22,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003226630,2019,12,4586,2117139.98,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003226630,2020,13,8089,3528185.37,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003226630,2021,12,10130,4977655.45,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003226630,2022,12,41590,5188492.14,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003226630,2023,12,51579,5849762.48,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1003226630,2024,12,49585,5908786.17,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1063691905,2018,14,1462,20761.55,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1063691905,2019,43,6496,97602.87,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1063691905,2020,44,11253,153413.18,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1063691905,2021,38,11287,204356.33,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1063691905,2022,50,14663,260473.58,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1063691905,2023,41,13618,230107.15,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
1063691905,2024,30,11804,176379.16,"HHS Medicaid Provider Spending by HCPCS, release 2026-02-09, sha256 f646d426...fb94; 2024 preliminary"
